reclat,reclon,
42.9593,-78.82258, 
42.95931,-78.82258, 
42.95931,-78.82257, 
42.95932,-78.82257, 
42.95933,-78.82257, 
42.95934,-78.82256, 
42.95935,-78.82256, 
42.95936,-78.82256, 
42.95937,-78.82255, 
42.95937,-78.82254, 
42.95937,-78.82253, 
42.95938,-78.82253, 
42.95939,-78.82253, 
42.95939,-78.82253, 
42.95939,-78.82253, 
42.9594,-78.82253, 
42.9594,-78.82252, 
42.95941,-78.82252, 
42.95942,-78.82253, 
42.95943,-78.82253, 
42.95944,-78.82254, 
42.95945,-78.82254, 
42.95946,-78.82254, 
42.95947,-78.82254, 
42.95948,-78.82254, 
42.95949,-78.82254, 
42.95951,-78.82255, 
42.95952,-78.82255, 
42.95954,-78.82254, 
42.95955,-78.82254, 
42.95957,-78.82254, 
42.95958,-78.82253, 
42.95959,-78.82252, 
42.9596,-78.82251, 
42.95962,-78.82251, 
42.95963,-78.8225, 
42.95964,-78.8225, 
42.95965,-78.8225, 
42.95966,-78.82249, 
42.95966,-78.82249, 
42.95966,-78.82248, 
42.95967,-78.82245, 
42.95966,-78.82245, 
42.95965,-78.82245, 
42.95969,-78.82245, 
42.95972,-78.82246, 
42.95975,-78.82246, 
42.95978,-78.82246, 
42.95981,-78.82246, 
42.95983,-78.82245, 
42.95985,-78.82245, 
42.95987,-78.82246, 
42.95988,-78.82246, 
42.95988,-78.82247, 
42.95988,-78.82247, 
42.95988,-78.82248, 
42.95988,-78.82248, 
42.95988,-78.82248, 
42.95988,-78.82248, 
42.95991,-78.82251, 
42.95992,-78.82252, 
42.95993,-78.82253, 
42.95995,-78.82253, 
42.95996,-78.82253, 
42.95997,-78.82253, 
42.95998,-78.82254, 
42.95999,-78.82254, 
42.96,-78.82252, 
42.96001,-78.82252, 
42.96002,-78.82252, 
42.96003,-78.82251, 
42.96003,-78.8225, 
42.96004,-78.82249, 
42.96006,-78.82249, 
42.96006,-78.82249, 
42.96008,-78.82249, 
42.96009,-78.82248, 
42.96012,-78.82247, 
42.96014,-78.82245, 
42.96017,-78.82243, 
42.96019,-78.82241, 
42.96021,-78.82241, 
42.96022,-78.8224, 
42.96023,-78.82238, 
42.96025,-78.82236, 
42.96027,-78.82236, 
42.96028,-78.82236, 
42.96029,-78.82236, 
42.9603,-78.82237, 
42.96031,-78.82237, 
42.96032,-78.82237, 
42.96033,-78.82237, 
42.96033,-78.82237, 
42.96035,-78.82238, 
42.96036,-78.82238, 
42.96037,-78.82238, 
42.96038,-78.82238, 
42.9604,-78.82237, 
42.96042,-78.82236, 
42.96044,-78.82236, 
42.96046,-78.82236, 
42.96048,-78.82237, 
42.9605,-78.82237, 
42.96051,-78.82238, 
42.96053,-78.82239, 
42.96055,-78.8224, 
42.96057,-78.82241, 
42.96058,-78.82241, 
42.9606,-78.82241, 
42.96062,-78.82242, 
42.96064,-78.82242, 
42.96066,-78.82242, 
42.96068,-78.82242, 
42.96069,-78.82241, 
42.96071,-78.82241, 
42.96073,-78.8224, 
42.96074,-78.82241, 
42.96075,-78.82241, 
42.96077,-78.82242, 
42.96078,-78.82242, 
42.96079,-78.82242, 
42.9608,-78.82241, 
42.96082,-78.82241, 
42.96085,-78.8224, 
42.96086,-78.82241, 
42.96088,-78.8224, 
42.9609,-78.8224, 
42.96091,-78.8224, 
42.96093,-78.82241, 
42.96094,-78.82242, 
42.96095,-78.82241, 
42.96096,-78.82242, 
42.96098,-78.82242, 
42.961,-78.82242, 
42.96102,-78.82243, 
42.96105,-78.82243, 
42.96107,-78.82243, 
42.96109,-78.82242, 
42.96111,-78.82242, 
42.96112,-78.82242, 
42.96113,-78.82241, 
42.96114,-78.8224, 
42.96115,-78.82239, 
42.96116,-78.82239, 
42.96116,-78.82239, 
42.96117,-78.8224, 
42.96119,-78.8224, 
42.96121,-78.8224, 
42.96123,-78.82241, 
42.96125,-78.82241, 
42.96127,-78.82241, 
42.96129,-78.82241, 
42.96132,-78.82241, 
42.96135,-78.82241, 
